 Execucao1 Execucao2 Execucao3 Execucao4 Execucao5 Execucao6 Execucao7 Execucao8 Execucao9 Execucao10 Media Melhor 
1ªMelhorApt -16,1902 -16,8635 -13,1714 -10,2715 -13,3303 -4,1245 -15,4034 -16,8759 -16,1902 -13,3897 -13,5811 -16,8759 
2ªMelhorApt -16,1902 -16,8635 -13,1714 -15,68 -13,3303 -8,039 -15,4034 -16,8759 -16,1902 -13,3897 -14,5134 -16,8759 
3ªMelhorApt -16,1902 -16,8635 -13,1802 -15,68 -13,5613 -8,488 -15,68 -16,8759 -16,1902 -13,6093 -14,6319 -16,8759 
4ªMelhorApt -16,1902 -16,8635 -15,7449 -16,8136 -13,5613 -8,488 -15,68 -16,8759 -16,1902 -15,9809 -15,2388 -16,8759 
5ªMelhorApt -16,5269 -16,8635 -15,7449 -16,8136 -13,5613 -8,488 -15,68 -16,8759 -16,3723 -15,9809 -15,2907 -16,8759 
6ªMelhorApt -16,5269 -16,8635 -15,9809 -16,8136 -13,5613 -8,488 -16,8136 -16,8759 -16,3723 -15,9809 -15,4277 -16,8759 
7ªMelhorApt -16,5269 -16,8635 -16,8759 -16,8594 -13,5613 -8,488 -16,8136 -16,8759 -16,3723 -15,9809 -15,5218 -16,8759 
8ªMelhorApt -16,5269 -16,8635 -16,8759 -16,8594 -14,4075 -8,488 -16,8594 -16,8759 -16,6537 -15,9809 -15,6391 -16,8759 
9ªMelhorApt -16,5269 -16,8635 -16,8759 -16,8594 -16,7522 -8,488 -16,8594 -16,8759 -16,6537 -15,9809 -15,8736 -16,8759 
10ªMelhorApt -16,5269 -16,8635 -16,8759 -16,8594 -16,7522 -8,488 -16,8594 -16,8759 -16,6537 -16,5269 -15,9282 -16,8759 
11ªMelhorApt -16,5269 -16,8759 -16,8759 -16,8594 -16,7522 -8,488 -16,8594 -16,8759 -16,6537 -16,5269 -15,9294 -16,8759 
12ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8594 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0511 -16,8759 
13ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8635 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0515 -16,8759 
14ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8635 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0515 -16,8759 
15ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8635 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0515 -16,8759 
16ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0527 -16,8759 
17ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0527 -16,8759 
18ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0527 -16,8759 
19ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0527 -16,8759 
20ªMelhorApt -16,6537 -16,8759 -16,8759 -16,8759 -16,8594 -9,3438 -16,8594 -16,8759 -16,6537 -16,6537 -16,0527 -16,8759 
